Show_id,Title,Description,Director,Type,Cast,Country,Release Date,Rating,Duration,Category,Date Added
s1,(Un)Well,"This docuseries takes a deep dive into the lucrative wellness industry, which touts health and healing. But do the products live up to the promises?",,Reality TV,,United States,2020,TV-MA,1 Season,TV Show,
s2,#Alive,"As a grisly virus rampages a city, a lone man stays locked inside his apartment, digitally cut off from seeking help and desperate to find a way out.",Cho Il,"Horror Movies, International Movies, Thrillers","Yoo Ah-in, Park Shin-hye",South Korea,2020,TV-MA,99 min,Movie,"September 8, 2020"
s3,#AnneFrank - Parallel Stories,"Through her diary, Anne Frank's story is retold alongside those of five Holocaust survivors in this poignant documentary from Oscar winner Helen Mirren.","Sabina Fedeli, Anna Migotto","Documentaries, International Movies","Helen Mirren, Gengher Gatti",Italy,2019,TV-14,95 min,Movie,"July 1, 2020"
s4,#blackAF,"Kenya Barris and his family navigate relationships, race and culture while grappling with their newfound success in this comedy series.",,TV Comedies,"Kenya Barris, Rashida Jones, Iman Benson, Genneya Walton, Scarlet Spencer, Justin Claiborne, Ravi Cabot-Conyers",United States,2020,TV-MA,1 Season,TV Show,
s5,#cats_the_mewvie,"This pawesome documentary explores how our feline friends became online icons, from the earliest text memes to the rise of celebrity cat influencers.",Michael Margolis,"Documentaries, International Movies",,Canada,2020,TV-14,90 min,Movie,"February 5, 2020"
s6,#FriendButMarried,"Pining for his high school crush for years, a young man puts up his best efforts to move out of the friend zone until she reveals she's getting married.",Rako Prijanto,"Dramas, International Movies, Romantic Movies","Adipati Dolken, Vanesha Prescilla, Rendi Jhon, Beby Tsabina, Denira Wiraguna, Refal Hady, Diandra Agatha, Sari Nila",Indonesia,2018,TV-G,102 min,Movie,"May 21, 2020"
s7,#FriendButMarried 2,"As Ayu and Ditto finally transition from best friends to newlyweds, a quick pregnancy creates uncertainty for the future of their young marriage.",Rako Prijanto,"Dramas, International Movies, Romantic Movies","Adipati Dolken, Mawar de Jongh, Sari Nila, Vonny Cornellya, Clay Gribble, Ivan Leonardy, Sarah Sechan, Jourdy Pranata",Indonesia,2020,TV-G,104 min,Movie,"June 28, 2020"
s8,#realityhigh,"When nerdy high schooler Dani finally attracts the interest of her longtime crush, she lands in the cross hairs of his ex, a social media celebrity.",Fernando Lebrija,Comedies,"Nesta Cooper, Kate Walsh, John Michael Higgins, Keith Powers, Alicia Sanz, Jake Borelli, Kid Ink, Yousef Erakat, Rebekah Graf, Anne Winters, Peter Gilroy, Patrick Davis",United States,2017,TV-14,99 min,Movie,"September 8, 2017"
s9,#Rucker50,This documentary celebrates the 50th anniversary of the Harlem sports program that has inspired countless city kids to become pro basketball players.,Robert McCullough Jr.,"Documentaries, Sports Movies",,United States,2016,TV-PG,56 min,Movie,"December 1, 2016"
s10,#Selfie,"Two days before their final exams, three teen girls make a seaside getaway to have the time of their lives.",Cristina Jacob,"Comedies, Dramas, International Movies","Flavia Hojda, Crina Semciuc, Olimpia Melinte, Sali Levent, Vlad Logigan, Alex Călin, Alina Chivulescu, Răzvan Vasilescu",Romania,2014,TV-MA,125 min,Movie,"June 21, 2021"
s11,#Selfie 69,"After a painful breakup, a trio of party-loving friends makes a bet: who can get married in three days.",Cristina Jacob,"Comedies, Dramas, International Movies","Maia Morgenstern, Olimpia Melinte, Crina Semciuc, Flavia Hojda, Maria Dinulescu, Alex Călin, Vlad Logigan, Sali Levent, Silvia Busuioc, Mihaela Mihut",Romania,2016,TV-MA,119 min,Movie,"June 21, 2021"
s12,10 Days in Sun City,"After his girlfriend wins the Miss Nigeria pageant, a young man faces unexpected competition of his own when he joins her on a campaign in South Africa.",Adze Ugah,"Comedies, International Movies, Romantic Movies","Ayo Makun, Adesua Etomi, Richard Mofe-Damijo, Mercy Johnson, Falz, Tuface Idibia, Thenjiwe Moseley, Motlatsi Mafatshe, Celeste Ntuli, Miguel A. Núñez Jr.","South Africa, Nigeria",2017,TV-14,87 min,Movie,"October 18, 2019"
s13,10 jours en or,"When a carefree bachelor is unexpectedly left in charge of a young boy, the two embark on a road trip that will change both of their lives.",Nicolas Brossette,"Comedies, Dramas, International Movies","Franck Dubosc, Claude Rich, Marie Kremer, Mathis Touré, Rufus, Olivier Claverie",France,2012,TV-14,97 min,Movie,"July 1, 2017"
s14,100 Days My Prince,"Upon losing his memory, a crown prince encounters a commoner’s life and experiences unforgettable love as the husband to Joseon’s oldest bachelorette.",,"International TV Shows, Romantic TV Shows, TV Dramas","Doh Kyung-soo, Nam Ji-hyun, Cho Seong-ha, Cho Han-cheul, Kim Seon-ho, Han So-hee",South Korea,2018,TV-14,1 Season,TV Show,
s15,100 Humans,"One hundred hardy souls from diverse backgrounds participate in playful experiments exploring age, sex, happiness and other aspects of being human.",,"Docuseries, Science & Nature TV","Zainab Johnson, Sammy Obeid, Alie Ward",United States,2020,TV-14,1 Season,TV Show,
s16,100 Meters,"A man who is diagnosed with multiple sclerosis responds by training for an Ironman triathlon, with his cranky father-in-law's help.",Marcel Barrena,"Dramas, International Movies, Sports Movies","Dani Rovira, Karra Elejalde, Alexandra Jiménez, David Verdaguer, Clara Segura, Alba Ribas, Bruno Bergonzini, Ricardo Pereira, Manuela Couto, Marc Balaguer","Portugal, Spain",2016,TV-MA,109 min,Movie,"March 10, 2017"
s17,100 Things to do Before High School,"Led by seventh-grader C.J., three students who have been warned about the dangers of high school decide to make the best of their middle-school years.",,Movies,"Isabela Moner, Jaheem Toombs, Owen Joyner, Jack De Sena, Brady Reiter, Lisa Arch, Stephanie Escajeda",United States,2014,TV-Y,44 min,Movie,"November 2, 2019"
s18,100% Halal,"After high school, a young woman marries the man of her father's choice but soon faces the possibility that her religion considers the union invalid.",Jastis Arimba,"Dramas, International Movies","Anisa Rahma, Ariyo Wahab, Anandito Dwis, Fitria Rasyidi, Arafah Rianti, Kinaryosih",Indonesia,2020,TV-14,101 min,Movie,"January 7, 2021"
s19,1000 Rupee Note,"After randomly receiving a handsome political bribe, a sweet, poor elderly woman decides to treat herself a shopping spree, which doesn't go smoothly.",Shrihari Sathe,"Dramas, International Movies","Usha Naik, Sandeep Pathak, Shrikant Yadav, Ganesh Yadav, Pooja Nayak, Devendra Gaikwad",India,2014,TV-14,89 min,Movie,"December 1, 2016"
s20,122,"After an awful accident, a couple admitted to a grisly hospital are separated and must find each other to escape — before death finds them.",Yasir Al Yasiri,"Horror Movies, International Movies","Amina Khalil, Ahmed Dawood, Tarek Lotfy, Ahmed El Fishawy, Mahmoud Hijazi, Jihane Khalil, Asmaa Galal, Tara Emad",Egypt,2019,TV-MA,95 min,Movie,"June 1, 2020"
s21,13 Reasons Why,"After a teenage girl's perplexing suicide, a classmate receives a series of tapes that unravel the mystery of her tragic choice.",,"Crime TV Shows, TV Dramas, TV Mysteries","Dylan Minnette, Katherine Langford, Kate Walsh, Derek Luke, Brian d'Arcy James, Alisha Boe, Christian Navarro, Miles Heizer, Ross Butler, Devin Druid, Michele Selene Ang, Steven Silver, Amy Hargreaves",United States,2020,TV-MA,4 Seasons,TV Show,"June 5, 2020"
s22,13 Reasons Why: Beyond the Reasons,"Cast members, writers, producers and mental health professionals discuss some of the difficult issues and themes explored in ""13 Reasons Why.""",,"Crime TV Shows, Docuseries","Dylan Minnette, Katherine Langford, Kate Walsh, Derek Luke, Alisha Boe, Justin Prentice, Brandon Flynn, Miles Heizer, Christian Navarro, Brian Yorkey, Tom McCarthy, Selena Gomez, Mandy Teefey, Jay Asher, Dr. Rona Hu, Dr. Helen Hsu, Dr. Rebecca Hedrick, Alexis Jones, Elaine Welteroth, Julia Bicknell, Dr. Christine Moutier, Nic Sheff, Carrie Goldberg, Anne Winters, Joy Gorman, Brandon Butler, Marissa Jo Cerar, Susanne Timms",United States,2019,TV-MA,3 Seasons,TV Show,"August 23, 2019"
s23,13TH,"In this thought-provoking documentary, scholars, activists and politicians analyze the criminalization of African Americans and the U.S. prison boom.",Ava DuVernay,Documentaries,,United States,2016,TV-MA,101 min,Movie,"October 7, 2016"
s24,14 Minutes from Earth,A Google executive boldly attempts a death-defying mission to travel to space and free-fall back to Earth without a rocket.,"Adam Davis, Jerry Kolber, Trey Nelson, Erich Sturm",Documentaries,,United States,2016,TV-MA,84 min,Movie,"February 1, 2019"
s25,15-Aug,"On India's Independence Day, a zany mishap in a Mumbai chawl disrupts a young love story while compelling the residents to unite in aid of a little boy.",Swapnaneel Jayakar,"Comedies, Dramas, Independent Movies","Rahul Pethe, Mrunmayee Deshpande, Adinath Kothare, Vaibhav Mangale, Jaywant Wadkar, Satish Pulekar, Naina Apte, Uday Tikekar",India,2019,TV-14,124 min,Movie,"March 29, 2019"
s26,18 Presents,A pregnant mother with terminal cancer leaves behind 18 sentimental gifts for her unborn daughter to receive every birthday until she reaches womanhood.,Francesco Amato,"Dramas, Independent Movies, International Movies","Vittoria Puccini, Benedetta Porcaroli, Edoardo Leo, Sara Lazzaro, Marco Messeri, Betty Pedrazzi, Alessandro Giallocosta, Filippo Gili, Giacomo Rosselli",Italy,2020,TV-MA,114 min,Movie,"May 8, 2020"
s27,1898: Our Last Men in the Philippines,"While Spain relinquishes its last colonies, a battle-fatigued outpost engages in a long, brutal and sometimes bizarre clash with Filipino insurgents.",Salvador Calvo,"Dramas, International Movies","Luis Tosar, Javier Gutiérrez, Álvaro Cervantes, Karra Elejalde, Carlos Hipólito, Ricardo Gómez, Patrick Criado, Eduard Fernández, Miguel Herrán, Emilio Palacios",Spain,2016,R,130 min,Movie,"June 2, 2017"
s28,1922,"A farmer pens a confession admitting to his wife's murder, but her death is just the beginning of a macabre tale. Based on Stephen King's novella.",Zak Hilditch,"Dramas, Thrillers","Thomas Jane, Molly Parker, Dylan Schmid, Kaitlyn Bernard, Bob Frazer, Brian d'Arcy James, Neal McDonough",United States,2017,TV-MA,103 min,Movie,"October 20, 2017"
s29,1983,"In this dark alt-history thriller, a naïve law student and a world-weary detective uncover a conspiracy that has tyrannized Poland for decades.",,"Crime TV Shows, International TV Shows, TV Dramas","Robert Więckiewicz, Maciej Musiał, Michalina Olszańska, Andrzej Chyra, Clive Russell, Zofia Wichłacz, Edyta Olszówka, Mateusz Kościukiewicz, Ewa Błaszczyk, Vu Le Hong, Tomasz Włosok, Krzysztof Wach","Poland, United States",2018,TV-MA,1 Season,TV Show,
s30,1994,"Archival video and new interviews examine Mexican politics in 1994, a year marked by the rise of the EZLN and the assassination of Luis Donaldo Colosio.",Diego Enrique Osorno,"Crime TV Shows, Docuseries, International TV Shows",,Mexico,2019,TV-MA,1 Season,TV Show,
s31,1BR,"Seeking her independence, a young woman moves to Los Angeles and settles into a cozy apartment complex with a disturbing sense of community.",David Marmor,"Horror Movies, Independent Movies, Thrillers","Nicole Brydon Bloom, Giles Matthey, Taylor Nichols, Alan Blumenfeld, Celeste Sully, Susan Davis, Clayton Hoff, Earnestine Phillips",United States,2019,TV-MA,90 min,Movie,"August 23, 2020"
s32,2 Hearts,"In parallel love stories, the lives of college student Chris and wealthy businessman Jorge intersect in a profound twist of fate. Based on a true story.",Lance Hool,"Dramas, Faith & Spirituality, Romantic Movies","Jacob Elordi, Adan Canto, Radha Mitchell, Tiera Skovbye, Kari Matchett, Tahmoh Penikett",United States,2020,PG-13,101 min,Movie,"June 2, 2021"
s33,2 States,"Graduate students Krish and Ananya hope to win their parents' approval before they marry, but the two families clash over their cultural differences.",Abhishek Varman,"Comedies, Dramas, International Movies","Alia Bhatt, Arjun Kapoor, Ronit Roy, Amrita Singh, Revathy, Aru Krishansh Verma",India,2014,TV-PG,143 min,Movie,"August 4, 2018"
s34,2 Weeks in Lagos,A businessman returns home to Nigeria and falls in love with a friend's sister despite his family’s plan for him to marry a politician’s daughter.,Kathryn Fasegha,"Dramas, International Movies, Romantic Movies","Beverly Naya, Mawuli Gavor, Ajoke Silva, Jide Kosoko, Toyin Abraham, Okey Uzoeshi, Deyemi Okanlawon, Shaffy Bello, Tina Mba, Efe Irele",,2020,TV-PG,107 min,Movie,"July 16, 2021"
s35,"2,215","This intimate documentary follows rock star Artiwara Kongmalai on his historic, 2,215-kilometer charity run across Thailand in 2017.",Nottapon Boonprakob,"Documentaries, International Movies, Sports Movies",Artiwara Kongmalai,Thailand,2018,TV-MA,89 min,Movie,"March 1, 2019"
s36,20 Minutes,"When his wife is convicted of murder, a horrified family man races to prove her innocence while a dogged investigator sets out to uncover the truth.",,"Crime TV Shows, International TV Shows, TV Dramas","Tuba Büyüküstün, Ilker Aksum, Bülent Emin Yarar, İpek Bilgin, Müjde Uzman, Firat Çelik, Ayten Uncuoglu, Cihat Tamer",Turkey,2013,TV-MA,1 Season,TV Show,
s37,2012,"When a flood of natural disasters begins to destroy the world, a divorced dad desperately tries to save his family by outrunning the cataclysmic chaos.",Roland Emmerich,"Action & Adventure, Sci-Fi & Fantasy","John Cusack, Amanda Peet, Chiwetel Ejiofor, Thandie Newton, Oliver Platt, Tom McCarthy, Woody Harrelson, Danny Glover, Liam James, Morgan Lily",United States,2009,PG-13,158 min,Movie,"April 1, 2021"
s38,21 Again,"In a social experiment, a group of daughters sends their mothers, disguised as 21-year-olds, into the world to experience life as a member of Gen Z.",,"British TV Shows, Reality TV",Laura Morgan,United Kingdom,2019,TV-MA,1 Season,TV Show,
s39,21 Thunder,"Players and coaches for a Montreal soccer team chase dreams of stardom while their personal lives erupt with love, fear, passion and violence.",,"Crime TV Shows, International TV Shows, TV Dramas","Stephanie Bennett, Emmanuel Kabongo, RJ Fetherstonhaugh, Andres Joseph, Kevin Claydon, Conrad Pla, Clark Backo, Ryan Pierce, Eileen Li, Susan Bain, Cristina Rosato, Jonathan Kim, Colm Feore",Canada,2017,TV-MA,1 Season,TV Show,
s40,22-Jul,"After devastating terror attacks in Norway, a young survivor, grieving families and the country rally for justice and healing. Based on a true story.",Paul Greengrass,"Dramas, Thrillers","Anders Danielsen Lie, Jon Øigarden, Jonas Strand Gravli, Ola G. Furuseth, Maria Bock, Thorbjørn Harr, Jaden Smith","Norway, Iceland, United States",2018,R,144 min,Movie,"October 10, 2018"
s41,23:59,"When an army recruit is found dead, his fellow soldiers are forced to confront a terrifying secret that's haunting their jungle island training camp.",Gilbert Chan,"Horror Movies, International Movies","Tedd Chan, Stella Chung, Henley Hii, Lawrence Koh, Tommy Kuan, Josh Lai, Mark Lee, Susan Leong, Benjamin Lim",Singapore,2011,R,78 min,Movie,"December 20, 2018"
s42,25 Kille,"Four brothers learn that they have inherited ancestral land, but must fight to claim it when a greedy feudal lord threatens to take it over.",Simranjit Singh Hundal,"Action & Adventure, Dramas, International Movies","Guggu Gill, Yograj Singh, Sonia Mann, Jimmy Sharma, Sapna Bassi, Lakha Lakhwinder Singh, Sandeep Kaur Sandy, Sardar Sohi",India,2016,TV-14,140 min,Movie,"October 1, 2018"
s43,26 Years,"Twenty-six years after the 1980 massacre at Gwangju, South Korea, three relatives of the victims come together to avenge the infamous orchestrator.",Geun-hyun Cho,"Dramas, International Movies, Thrillers","Goo Jin, Hye-jin Han, Soo-bin Bae, Seul-ong Im, Kyeong-yeong Lee, Gwang Jang, Deok-jae Jo, Eui-sung Kim, Seok-Hwan An, Bok-gi Min",South Korea,2012,TV-MA,135 min,Movie,"October 1, 2017"
s44,28 Moons,"When her fiancé acts strangely upon receiving a mysterious invitation, a florist sets out to find out the truth behind the tiny scrap of paper.",,"International TV Shows, Korean TV Shows, Romantic TV Shows","Jin-sung Yang, Kyu-jong Kim, Tae-hwan Kang, Geummi",South Korea,2016,TV-PG,1 Season,TV Show,
s45,3 Days to Kill,A terminally ill secret agent accepts a risky mission in exchange for an experimental drug that might save him – if he can survive its side effects.,McG,Action & Adventure,"Kevin Costner, Amber Heard, Hailee Steinfeld, Connie Nielsen, Tómas Lemarquis, Richard Sammel, Marc Andréoni, Bruno Ricci, Jonas Bloquet, Eriq Ebouaney","United States, France, Serbia",2014,PG-13,117 min,Movie,"December 1, 2020"
s46,3 Generations,"When teenage Ray begins transitioning from female to male, his single mom and grandmother must cope with the change while tracking down his father.",Gaby Dellal,"Dramas, LGBTQ Movies","Elle Fanning, Naomi Watts, Susan Sarandon, Tate Donovan, Linda Emond, Jordan Carlos, Sam Trammell, Maria Dizzia, Tessa Albertson",United States,2015,PG-13,92 min,Movie,"August 28, 2017"
s47,3 Idiots,"While attending one of India's premier colleges, three miserable engineering students and best friends struggle to beat the school's draconian system.",Rajkumar Hirani,"Comedies, Dramas, International Movies","Aamir Khan, Kareena Kapoor, Madhavan, Sharman Joshi, Omi Vaidya, Boman Irani, Mona Singh, Javed Jaffrey",India,2009,PG-13,164 min,Movie,"April 1, 2021"
s48,3 Türken & ein Baby,The lives of three dissatisfied brothers running a family bridal shop turn topsy-turvy when one of them has to care for his ex-girlfriend's baby.,Sinan Akkuş,"Comedies, International Movies","Kostja Ullmann, Eko Fresh, Kida Khodr Ramadan, Sabrina Klüber, Sami Nasser, Kayla Rybicka, Jytte-Merle Böhrnsen, Emrah Erdogru, Tim Grothe, Hülya Duyar",Germany,2015,TV-MA,93 min,Movie,"December 15, 2016"
s49,3%,"In a future where the elite inhabit an island paradise far from the crowded slums, you get one chance to join the 3% saved from squalor.",,"International TV Shows, TV Dramas, TV Sci-Fi & Fantasy","João Miguel, Bianca Comparato, Michel Gomes, Rodolfo Valente, Vaneza Oliveira, Rafael Lozano, Viviane Porto, Mel Fronckowiak, Sergio Mamberti, Zezé Motta, Celso Frateschi",Brazil,2020,TV-MA,4 Seasons,TV Show,"August 14, 2020"
s50,3022,"Stranded when the Earth is suddenly destroyed in a mysterious cataclysm, the astronauts aboard a marooned space station slowly lose their minds.",John Suits,"Independent Movies, Sci-Fi & Fantasy, Thrillers","Omar Epps, Kate Walsh, Miranda Cosgrove, Angus Macfadyen, Jorja Fox, Enver Gjokaj, Haaz Sleiman",United States,2019,R,91 min,Movie,"March 19, 2020"
s51,365 Days,"A fiery executive in a spiritless relationship falls victim to a dominant mafia boss, who imprisons her and gives her one year to fall in love with him.","Barbara Białowąs, Tomasz Mandes","Dramas, International Movies, Romantic Movies","Anna-Maria Sieklucka, Michele Morrone, Bronisław Wrocławski, Otar Saralidze, Magdalena Lamparska, Natasza Urbańska, Grażyna Szapołowska, Tomasz Stockinger, Gianni Parisi, Mateusz Łasowski",Poland,2020,TV-MA,114 min,Movie,"June 7, 2020"
s52,37 Seconds,"Trapped by society and familial obligations, a young manga artist goes on an unconventional journey for sexual freedom and personal liberation.",Hikari,"Dramas, International Movies","Mei Kayama, Misuzu Kanno, Shunsuke Daitoh, Makiko Watanabe, Yoshihiko Kumashino, Minori Hagiwara, Shohei Uno, Yuka Itaya, Kiyohiko Shibukawa, Eita Okuno, Haruka Imou, Toshinori Omi",Japan,2020,TV-MA,116 min,Movie,"January 31, 2020"
s53,3Below: Tales of Arcadia,"After crash-landing on Earth, two royal teen aliens on the run struggle to blend in with humans as they evade intergalactic bounty hunters.",,"Kids' TV, TV Action & Adventure, TV Sci-Fi & Fantasy","Tatiana Maslany, Diego Luna, Nick Offerman, Nick Frost, Glenn Close, Alon Aboutboul, Hayley Atwell, Darin De Paul, Andy Garcia, Cheryl Hines, Tom Kenny, Chris Obi, Cole Sand, Frank Welker, Steven Yeun",United States,2019,TV-Y7,2 Seasons,TV Show,"July 12, 2019"
s54,40 Sticks,"When their prison bus crashes in a forest on a rainy night, a group of criminals finds themselves battling wild animals and a mysterious killer.",Victor Gatonye,"International Movies, Thrillers","Robert Agengo, Mwaura Bilal, Andreo Kamau, Cajetan Boy, Arabron Nyyeneque, Shiviske Shivisi, Xavier Ywaya",Kenya,2019,TV-14,93 min,Movie,"November 20, 2020"
s55,44 Cats,"Paw-esome tales abound when singing furry friends Lampo, Milady, Pilou and Meatball band together.",,Kids' TV,"Sarah Natochenny, Suzy Myers, Simona Berman, Erica Schroeder, Marca Leigh, Scottie Ray, Henry F. Benjamin",Italy,2018,TV-Y7,2 Seasons,TV Show,"October 1, 2020"
s56,45 rpm,"In 1960s Madrid, music producer Guillermo Rojas launches a rock 'n' roll label with the help of aspiring singer Robert and clever producer Maribel.",,"International TV Shows, Romantic TV Shows, Spanish-Language TV Shows","Carlos Cuevas, Guiomar Puerta, Iván Marcos, Israel Elejalde, Eudald Font, Luis Larrodera, Carmen Gutiérrez, Diana Gómez, Vito Sanz, Marina San José, Pere Ponce, Joan Pera",Spain,2019,TV-MA,1 Season,TV Show,
s57,46,"A genetics professor experiments with a treatment for his comatose sister that blends medical and shamanic cures, but unlocks a shocking side effect.",Serdar Akar,"International TV Shows, TV Dramas, TV Mysteries","Erdal Beşikçioğlu, Yasemin Allen, Melis Birkan, Saygın Soysal, Berkan Şal, Metin Belgin, Ayça Eren, Selin Uludoğan, Özay Fecht, Suna Yıldızoğlu",Turkey,2016,TV-MA,1 Season,TV Show,
s58,48 Christmas Wishes,"When a small town's letters to Santa accidentally go up in smoke, two elves venture out of the North Pole to retrieve every missing wish.","Marco Deufemia, Justin G. Dyck","Children & Family Movies, Comedies","Khiyla Aynne, Noah Dyer, Maya Franzoi, Clara Kushnir, Madeline Leon, Liam MacDonald, Matt Schichter, Ethan Yang, Adam Crew",Canada,2017,TV-G,84 min,Movie,"December 20, 2017"
s59,4L,"Hoping to reunite with a dying friend, two longtime pals re-create their desert road trip from Spain to Mali, bringing along his estranged daughter.",Gerardo Olivares,"Comedies, Dramas, Independent Movies","Jean Reno, Hovik Keuchkerian, Susana Abaitua, Juan Dos Santos, Arturo Valls, Enrique San Francisco, Francesc Garrido, Eric Nguyen",Spain,2019,TV-MA,105 min,Movie,"July 12, 2019"
s60,4th Republic,"After the election-night murder of her campaign manager at a polling site, a gubernatorial candidate challenges the corrupt incumbent's victory.",Ishaya Bako,"Dramas, International Movies, Thrillers","Kate Henshaw-Nuttal, Enyinna Nwigwe, Linda Ejiofor, Yakubu Mohammed, Bimbo Manuel, Sani Mu’azu, Emil Hirai-Garuba, Rekiya Ibrahim Atta",Nigeria,2019,TV-MA,120 min,Movie,"June 13, 2020"
s61,5 Flights Up,"A couple finds unexpected drama when, after 40 years of living in the same Brooklyn walk-up, they attempt to sell their apartment and buy a new one.",Richard Loncraine,"Comedies, Dramas, Independent Movies","Josh Pais, Claire van der Boom, Morgan Freeman, Diane Keaton, Carrie Preston, Cynthia Nixon, Korey Jackson, Diane Ciesla, Michael Cristofer",United States,2014,PG-13,92 min,Movie,"March 17, 2019"
s62,5 Star Christmas,"When the Italian prime minister meets his lover and political rival while on an official trip to Budapest during Christmas week, things go topsy-turvy.",Marco Risi,"Comedies, International Movies","Massimo Ghini, Ricky Memphis, Martina Stella, Ralph Palka, Biagio Izzo, Riccardo Rossi, Paola Minaccioni",Italy,2018,TV-14,96 min,Movie,"December 7, 2018"
s63,50M2,"Seeking to uncover the truth about his past, a henchman betrays someone close to him and assumes a new identity in a small Istanbul neighborhood.",,"International TV Shows, TV Dramas, TV Thrillers","Engin Öztürk, Kürşat Alnıaçık, Cengiz Bozkurt, Aybüke Pusat, Tolga Tekin, Özgür Emre Yıldırım, Yiğit Kirazcı",Turkey,2021,TV-MA,1 Season,TV Show,
s64,5Gang,"To keep the band together, Selly tries to earn money by making an appearance at the birthday party of a mobster's daughter — until he gets kidnapped.",Matei Dima,"Comedies, International Movies","Andrei Selaru, Dorian Popa, Julia Marcan, Ana Radu, Cosmin Nedelcu, Diana Condurache, Andrei Gavril, Luca Bogdan",Romania,2019,TV-14,96 min,Movie,"April 27, 2020"
s65,6 Balloons,A loyal sister struggles to stay afloat while driving her heroin-addicted brother to a detox center and looking after his 2-year-old daughter.,Marja Lewis Ryan,"Dramas, Independent Movies","Abbi Jacobson, Dave Franco, Jane Kaczmarek, Tim Matheson, Charlotte Carel, Madeline Carel, Maya Erskine, Dawan Owens, Jen Tullock",United States,2018,TV-MA,75 min,Movie,"April 6, 2018"
s66,6 Bullets,A former mercenary is lured back into the dangerous business of finding missing children when the daughter of a mixed martial arts champ is kidnapped.,Ernie Barbarash,Action & Adventure,"Jean-Claude Van Damme, Joe Flanigan, Anna-Louise Plowman, Charlotte Beaumont, Steve Nicolson, Uriel Emil, Louis Dempsey, Mark Lewis, Kristopher Van Varenberg, Bianca Brigitte VanDamme",United States,2012,R,115 min,Movie,"July 1, 2021"
s67,6 Underground,"After faking his death, a tech billionaire recruits a team of international operatives for a bold and bloody mission to take down a brutal dictator.",Michael Bay,"Action & Adventure, Dramas","Ryan Reynolds, Mélanie Laurent, Corey Hawkins, Dave Franco, Adria Arjona, Manuel Garcia-Rulfo, Ben Hardy, Lior Raz, Payman Maadi, Yuri Kolokolnikov, Kim Kold",United States,2019,R,129 min,Movie,"December 13, 2019"
s68,6 Years,"As a volatile young couple who have been together for six years approach college graduation, unexpected career opportunities threaten their future.",Hannah Fidell,"Dramas, Independent Movies, Romantic Movies","Taissa Farmiga, Ben Rosenfield, Lindsay Burdge, Joshua Leonard, Jennifer Lafleur, Peter Vack, Dana Wheeler-Nicholson, Jason Newman, Molly McMichael",United States,2015,TV-MA,80 min,Movie,"September 8, 2015"
s69,60 Days In,"Recruited by a sheriff, volunteers infiltrate county prisons to expose corruption and crime from within the system in this docuseries.",,Reality TV,,United States,2019,TV-MA,1 Season,TV Show,
s70,678,"This film sheds light on sexual harassment in Egypt, following the lives of three women from different social classes who have been subjected to it.",Mohamed Diab,"Dramas, Independent Movies, International Movies","Maged El-Kidwani, Bassem Samra, Ahmed El Fishawy, Nelly Kariem, Boshra, Nahed El Sebaï, Marwa Mehran, Sawsan Badr, Omar El Saeed, Moataz Al-Demerdash",,2009,TV-14,99 min,Movie,"May 20, 2021"
s71,7 años,Loyalties are tested and cruelties revealed when four business partners spend a tense evening debating who will pay for the crime they committed.,Roger Gual,"Dramas, International Movies","Paco León, Juana Acosta, Juan Pablo Raba, Alex Brendemühl, Manuel Morón",Spain,2016,TV-MA,77 min,Movie,"October 27, 2016"
s72,7 Days Out,"Witness the excitement and drama behind the scenes in the seven days leading up to major live events in the worlds of sports, fashion, space and food.",,Docuseries,,United States,2018,TV-PG,1 Season,TV Show,
s73,7 Khoon Maaf,"Spiced liberally with black comedy, this Bollywood drama follows the lethal love life of a woman who marries numerous men – only to find them flawed.",Vishal Bhardwaj,"Dramas, International Movies, Thrillers","Priyanka Chopra, Neil Nitin Mukesh, John Abraham, Irrfan Khan, Aleksandr Dyachenko, Annu Kapoor, Naseeruddin Shah, Vivaan Shah, Usha Uthup, Konkona Sen Sharma",India,2011,TV-MA,148 min,Movie,"August 2, 2018"
s74,7 Yards: The Chris Norton Story,"The true story of former college football player Chris Norton, who defied the odds after a devastating accident — with the woman he loves by his side.",Jonathon Link,Documentaries,Chris Norton,United States,2021,TV-PG,93 min,Movie,"March 30, 2021"
s75,07:19,"After a devastating earthquake hits Mexico City, trapped survivors from all walks of life wait to be rescued while trying desperately to stay alive.",Jorge Michel Grau,"Dramas, International Movies","Demián Bichir, Héctor Bonilla, Oscar Serrano, Azalia Ortiz, Octavio Michel, Carmen Beato",Mexico,2016,TV-MA,93 min,Movie,"December 23, 2016"
s76,72 Cutest Animals,This series examines the nature of cuteness and how adorability helps some animal species to survive and thrive in a variety of environments.,,"Docuseries, International TV Shows, Science & Nature TV",,Australia,2016,TV-PG,1 Season,TV Show,
s77,72 Dangerous Animals: Asia,"From fangs to claws to venomous stings, they all wield deadly weapons. But which creature will be crowned the fiercest of all?",,"Docuseries, International TV Shows, Science & Nature TV",Bob Brisbane,Australia,2018,TV-14,1 Season,TV Show,
s78,72 Dangerous Animals: Latin America,"Powerful cats, indestructible arachnids and flesh-melting pit vipers are just the beginning in this series about Latin America's deadliest creatures.",,"Docuseries, International TV Shows, Science & Nature TV",Bob Brisbane,"Australia, United States",2017,TV-14,1 Season,TV Show,
